score
id ,:name ,:math ,:english ,:science ,:music
46 iScDnd 35 4 77 66
62 BCdfEHOe 50 22 8 87
212 MpSCJd 99 43 92 94
245 JAV2edP 58 24 69 87
367 8DzuEax 48 27 42 32
397 WjfnjGU 62 97 29 13
520 6fTaqpq 40 66 84 22
575 Ww475uK 43 76 53 57
892 WNpRvWL 72 42 93 21
938 NXporn2 20 83 98 53
1041 OOVlr3 93 11 11 3
1139 BgBJryVS 41 2 13 86
1186 iqk5M8d 50 97 76 37
1207 R9PIPlSF 98 3 91 87
1403 RJaZRe 3 76 10 53
1447 B1ORajQ 71 18 20 80
1566 zxQsJ3 22 48 1 53
1679 c1sEaj 98 8 61 74
1775 VmfzC7f4 35 100 41 73
1791 UOji1cCJ 100 85 42 94
1868 m3GmS3 30 9 88 92
2057 5jUmNDg 86 88 2 12
2080 B9aLBbXj 85 40 53 80
2082 KcRPo2Fn 49 68 31 27
2092 6pLv7g 39 24 49 84
2152 G3Yvkh 79 96 26 54
2211 aC1UYj 58 97 95 18
2347 FJq5j9 21 43 36 62
2470 cDvCCL1 97 65 92 14
2764 jFprnE 95 62 48 62
2884 pdhZkLj 41 7 10 22
2914 yma1wz 48 28 21 92
2972 5Hcf0x9 75 44 78 24
3159 iQgqTV 27 61 99 56
3232 wgenPX0 85 52 87 21
3357 TbunK01T 21 45 29 90
3372 JRcbMu 50 1 35 43
3516 lWi5e2 56 40 60 37
3763 DxmI7ogp 70 59 4 54
3769 tYAR2o 17 75 68 41
4126 BVYNQ79g 75 69 52 34
4133 l8yZGOyB 73 60 27 34
4244 Kmadtf 54 10 59 88
4257 UikdWy 96 23 88 63
4390 1ogUzR8 25 88 57 47
4627 L5bCNz 61 74 76 97
4739 44EWfxS 10 30 34 84
4773 pilsfpLg 43 15 65 91
4808 nztKXJ 21 77 28 58
4847 lWMk3aWQ 71 19 81 66
4882 FPCLmO 89 96 10 67
4888 avlRJUbK 8 32 89 3
4993 3p1jqngc 19 89 31 67
5013 BkacX08 73 47 85 18
5055 izliXtC 92 21 55 84
5382 UN3E2z 61 98 55 46
5395 OEeqzuN8 65 18 1 76
5441 NDUdGkdk 9 48 95 75
5564 C7uLPtK1 2 25 46 25
5695 TWDhEj 30 94 40 88
5755 cWdV2zs 76 25 23 75
5831 6XeKFYM 45 40 92 37
5882 XcacaD 14 92 38 4
6107 Z3ze8Co 60 91 24 82
6129 UxbyCGD 26 57 71 65
6150 DIgvsF3A 93 59 100 7
6191 p8UpiC 68 59 16 41
6332 3qTSIOXX 34 52 71 67
6558 pxy340 100 21 45 44
6601 TeRR83s 77 94 63 8
6644 LNlhCPv 39 58 90 28
6738 bsIHbMr 76 74 65 13
6871 nztKXJ 53 82 22 81
6934 C4R3Sbn 36 47 18 20
7350 b3M5Cos 20 31 33 60
7365 c7QfbrGF 18 76 5 78
7436 VyTIA0Lr 16 95 82 45
7455 fkqmmc 57 33 25 8
7674 GVTVGIN3 26 34 16 37
7813 0fxafuZ 81 88 52 63
8028 fGQPbC 75 71 18 84
8122 BkE4hPP3 26 72 32 17
8228 m6RBNi 52 99 68 26
8257 3uwiHAL 82 11 82 45
8341 wUe7nC 23 36 29 19
8383 UYf5tdbd 72 23 45 38
8405 LGDGSGhB 36 99 68 95
8603 RryaS3 87 43 96 24
8621 38zZcl 83 55 30 74
8657 PcyIim 52 65 21 1
8729 QDJOjpox 25 20 85 70
8887 GCnoWO 12 48 81 22
9110 NLBxMw 83 89 63 94
9145 GBGrRaS 84 66 2 30
9193 PgjHhV 91 75 12 71
9242 V8p7PO7M 48 90 52 88
9325 0pq3jgAY 32 17 70 20
9471 ELpFhX 10 52 38 46
9655 rhpEW9 21 43 39 30
9668 n4K5wxFW 37 55 81 86
9710 eiGDYb6 45 20 29 50
9781 uM0qqwD 96 72 23 44
10042 OOLBEi9 64 44 0 56
10051 9ivr8GqI 17 95 18 68
10150 Ha5er3 41 19 4 77
10270 KDwyhcO 26 55 78 17
10274 6rPwW0 75 57 64 42
10483 NDvHubNw 44 10 50 26
10605 f2FP0TR5 13 47 22 36
10640 57cvyQUo 74 53 66 17
11406 3ybYKf 30 41 37 60
11427 Olci0k5c 89 74 45 55
11624 mvxaVN 35 47 40 51
11677 Oo2QVf1O 60 26 44 80
11745 27jJSs 8 52 31 4
11854 IRCx8CN 98 6 44 65
11895 J7y7F4dm 95 56 99 4
11923 xvrewg 83 21 47 8
11955 RbcOtG 10 8 69 68
12241 M9lBXgDI 43 79 37 81
12416 OaR3Wca 61 3 34 44
12467 pSUTNFrN 77 14 32 79
12570 b60U5R2E 1 79 27 23
12633 Kpl5lk 82 44 74 98
12676 3fIgSM 85 34 43 20
13036 xCOneN 49 4 66 28
13051 0X0l30hB 89 84 45 11
13226 UtGQwG 58 36 10 66
13268 NC0v0le 66 98 66 71
13271 ju3X8bW 15 84 70 79
13293 d2uaKgN 20 15 17 84
13356 TYh1FFp7 51 16 52 68
13415 r3fQUmL 78 97 64 44
13544 eZYmAdu 78 97 56 78
13723 ZTE0S6D 86 77 23 78
14131 6imAQ3 75 93 56 90
14177 6x4VIjr 27 30 63 67
14319 DFcKVv9B 62 16 93 96
